Site ID,Energy Consumption (kWh),Date
CCC1181,569.02,2020-05-22
CCC1181,126.12,2020-05-23
CCC1181,102.48,2020-05-24
CCC1181,166.33,2020-05-25
CCC1181,544.96,2020-05-26
CCC1181,628.34,2020-05-27
CCC1181,593.87,2020-05-28
CCC1181,506.15,2020-05-29
CCC1181,94.44,2020-05-30
CCC1181,90.62,2020-05-31
CCC1181,433.98,2020-06-01
CCC1181,486.75,2020-06-02
CCC1181,540.86,2020-06-03
CCC1181,604.84,2020-06-04
CCC1181,556.99,2020-06-05
CCC1181,81.43,2020-06-06
CCC1181,82.63,2020-06-07
CCC1181,523.74,2020-06-08
CCC1181,594.71,2020-06-09
CCC1181,602.49,2020-06-10
CCC1181,487.05,2020-06-11
CCC1181,450.7,2020-06-12
CCC1181,92.75,2020-06-13
CCC1181,88.19,2020-06-14
CCC1181,479.99,2020-06-15
CCC1181,478.08,2020-06-16
CCC1181,479.36,2020-06-17
CCC1181,553.6,2020-06-18
CCC1181,456.19,2020-06-19
CCC1181,96.57,2020-06-20
CCC1181,98.77,2020-06-21
CCC1181,428.21,2020-06-22
CCC1181,573.09,2020-06-23
CCC1181,499.97,2020-06-24
CCC1181,680.13,2020-06-25
CCC1181,511.61,2020-06-26
CCC1181,88.22,2020-06-27
CCC1181,82.71,2020-06-28
CCC1181,514.03,2020-06-29
CCC1181,613.56,2020-06-30
CCC1181,570.75,2020-07-01
CCC1181,510.69,2020-07-02
CCC1181,151.23,2020-07-03
CCC1181,98.66,2020-07-04
CCC1181,112.54,2020-07-05
CCC1181,576.11,2020-07-06
CCC1181,545.29,2020-07-07
CCC1181,711.4,2020-07-08
CCC1181,660.45,2020-07-09
CCC1181,617.53,2020-07-10
CCC1181,219.58,2020-07-11
CCC1181,150.27,2020-07-12
CCC1181,492.8,2020-07-13
CCC1181,499.95,2020-07-14
CCC1181,569.57,2020-07-15
CCC1181,525.45,2020-07-16
CCC1181,488.78,2020-07-17
CCC1181,111.77,2020-07-18
CCC1181,101.71,2020-07-19
CCC1181,583.09,2020-07-20
CCC1181,609.12,2020-07-21
CCC1181,628.66,2020-07-22
CCC1181,661.87,2020-07-23
CCC1181,518.32,2020-07-24
CCC1181,157.45,2020-07-25
CCC1181,108.09,2020-07-26
CCC1181,612.45,2020-07-27
CCC1181,615.69,2020-07-28
CCC1181,621.05,2020-07-29
CCC1181,564.88,2020-07-30
CCC1181,480.31,2020-07-31
CCC1181,92.93,2020-08-01
CCC1181,110.04,2020-08-02
CCC1181,522.52,2020-08-03
CCC1181,572.24,2020-08-04
CCC1181,616.87,2020-08-05
CCC1181,731.59,2020-08-06
CCC1181,591.65,2020-08-07
CCC1181,111.7,2020-08-08
CCC1181,209.36,2020-08-09
CCC1181,686.07,2020-08-10
CCC1181,570.86,2020-08-11
CCC1181,606.67,2020-08-12
CCC1181,567.32,2020-08-13
CCC1181,715.78,2020-08-14
CCC1181,244.72,2020-08-15
CCC1181,260.53,2020-08-16
CCC1181,753.09,2020-08-17
CCC1181,736.63,2020-08-18
CCC1181,790.66,2020-08-19
CCC1181,653.18,2020-08-20
CCC1181,581.3,2020-08-21
CCC1181,173.27,2020-08-22
CCC1181,115.81,2020-08-23
CCC1181,617.19,2020-08-24
CCC1181,604.62,2020-08-25
CCC1181,690.02,2020-08-26
CCC1181,625.47,2020-08-27
CCC1181,475.05,2020-08-28
CCC1181,248.09,2020-08-29
CCC1181,109.5,2020-08-30
CCC1181,562.12,2020-08-31
CCC1181,551.93,2020-09-01
CCC1181,444.41,2020-09-02
CCC1181,606.86,2020-09-03
CCC1181,599.02,2020-09-04
CCC1181,157.24,2020-09-05
CCC1181,135.99,2020-09-06
CCC1181,258.53,2020-09-07
CCC1181,632.49,2020-09-08
CCC1181,492.02,2020-09-09
CCC1181,544.7,2020-09-10
CCC1181,531.77,2020-09-11
CCC1181,95.49,2020-09-12
CCC1181,91.44,2020-09-13
CCC1181,619.54,2020-09-14
CCC1181,610.03,2020-09-15
CCC1181,519.26,2020-09-16
CCC1181,620.01,2020-09-17
CCC1181,492.66,2020-09-18
CCC1181,161.2,2020-09-19
CCC1181,95.5,2020-09-20
CCC1181,469.38,2020-09-21
CCC1181,553.4,2020-09-22
CCC1181,609.72,2020-09-23
CCC1181,574.2,2020-09-24
CCC1181,551.9,2020-09-25
CCC1181,92.99,2020-09-26
CCC1181,96.99,2020-09-27
CCC1181,703.48,2020-09-28
CCC1181,664.34,2020-09-29
CCC1181,565.02,2020-09-30
CCC1181,581.8,2020-10-01
CCC1181,555.52,2020-10-02
CCC1181,232.33,2020-10-03
CCC1181,149.75,2020-10-04
CCC1181,498.54,2020-10-05
CCC1181,546.18,2020-10-06
CCC1181,692.45,2020-10-07
CCC1181,600.67,2020-10-08
CCC1181,490.02,2020-10-09
CCC1181,99.55,2020-10-10
CCC1181,146.41,2020-10-11
CCC1181,509.19,2020-10-12
CCC1181,514.48,2020-10-13
CCC1181,634.16,2020-10-14
CCC1181,561.37,2020-10-15
CCC1181,522.96,2020-10-16
CCC1181,91.11,2020-10-17
CCC1181,185.56,2020-10-18
CCC1181,520.55,2020-10-19
CCC1181,624.91,2020-10-20
CCC1181,539.81,2020-10-21
CCC1181,515.4,2020-10-22
CCC1181,483.5,2020-10-23
CCC1181,86.27,2020-10-24
CCC1181,113.2,2020-10-25
CCC1181,477.21,2020-10-26
CCC1181,526.4,2020-10-27
CCC1181,501.59,2020-10-28
CCC1181,583.77,2020-10-29
CCC1181,477.39,2020-10-30
CCC1181,144.11,2020-10-31
CCC1181,99.13,2020-11-01
CCC1181,457,2020-11-02
CCC1181,488.58,2020-11-03
CCC1181,544.71,2020-11-04
CCC1181,602.43,2020-11-05
CCC1181,483.21,2020-11-06
CCC1181,90.4,2020-11-07
CCC1181,92.65,2020-11-08
CCC1181,641.01,2020-11-09
